attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
68,has_back_color::orange,has_back_color,True,4530,94,4436,0.12160024076486012,0.07231012528517079,0.025875022153258022,0.16971279539829748,-0.049290115479689325
69,has_back_color::black,has_back_color,True,4530,1663,2867,0.7427370461460633,0.6741962930921049,0.3473833102996897,0.7561138203597758,-0.06854075305395835
70,has_back_color::white,has_back_color,True,4530,893,3637,0.5622489591922152,0.43265281716544984,0.2523443012364297,0.5696925293319118,-0.12959614202676534
71,has_back_color::red,has_back_color,True,4530,103,4427,0.4279584947157985,0.38127534245087363,0.05975920287541583,0.46508046432390593,-0.046683152264924865
72,has_back_color::buff,has_back_color,True,4530,841,3689,0.468672957072778,0.4199699647018291,0.22451802925560232,0.4968752982267376,-0.04870299237094888
73,has_tail_shape::forked_tail,has_tail_shape,True,4586,198,4388,0.16264036682431735,0.09783008151181846,0.049828605558310694,0.20195975405542974,-0.06481028531249888
74,has_tail_shape::rounded_tail,has_tail_shape,True,4586,652,3934,0.18513346643090675,0.18780278507269124,0.13958148489226424,0.18698821378182587,0.0026693186417844905
75,has_tail_shape::notched_tail,has_tail_shape,True,4586,1715,2871,0.49244137633493545,0.4526876384609301,0.40656444815511017,0.4863001355703111,-0.03975373787400538
76,has_tail_shape::fan-shaped_tail,has_tail_shape,True,4586,436,4150,0.18148584396786147,0.12959767761813767,0.09809582543608701,0.1988314824088354,-0.05188816634972379
77,has_tail_shape::pointed_tail,has_tail_shape,True,4586,1048,3538,0.2859975477429021,0.2577262685911471,0.23857796128295514,0.2872702933102438,-0.02827127915175498
78,has_tail_shape::squared_tail,has_tail_shape,True,4586,537,4049,0.16190415434751088,0.1425670221341308,0.11504212247491599,0.16966769031236958,-0.01933713221338007
79,has_upper_tail_color::blue,has_upper_tail_color,True,3855,214,3641,0.6093168656035204,0.49409148672484005,0.032605326268228554,0.6197155512421478,-0.11522537887868034
80,has_upper_tail_color::brown,has_upper_tail_color,True,3855,828,3027,0.5711205178144789,0.46728596641271586,0.2084213994161464,0.5754086706030371,-0.10383455140176306
81,has_upper_tail_color::iridescent,has_upper_tail_color,True,3855,63,3792,0.07763709081488632,0.0623155429491538,0.013950397984922938,0.09196215610008165,-0.015321547865732518
82,has_upper_tail_color::purple,has_upper_tail_color,False,3855,16,3839,,,,,
83,has_upper_tail_color::rufous,has_upper_tail_color,True,3855,40,3815,0.14065217065003124,0.031445339161287826,0.017567461733478215,0.1139598253152269,-0.10920683148874341
84,has_upper_tail_color::grey,has_upper_tail_color,True,3855,1070,2785,0.48510433247974866,0.4136754601090922,0.29920004211699663,0.4889640802520864,-0.07142887237065648
85,has_upper_tail_color::yellow,has_upper_tail_color,True,3855,258,3597,0.37247200503456007,0.2714040598967003,0.05357100380638937,0.4377391699356269,-0.10106794513785977
86,has_upper_tail_color::olive,has_upper_tail_color,True,3855,131,3724,0.2059694485653913,0.1716861455330283,0.04441954179421307,0.24247426874461983,-0.03428330303236299
87,has_upper_tail_color::green,has_upper_tail_color,True,3855,46,3809,0.18024277922479517,0.08315338067138847,0.011352142062037171,0.11526990807987951,-0.0970893985534067
88,has_upper_tail_color::pink,has_upper_tail_color,True,3855,29,3826,0.00842347662995307,0.02464800920214074,0.010002195083977624,0.010755654902299006,0.016224532572187672
89,has_upper_tail_color::orange,has_upper_tail_color,True,3855,87,3768,0.11917087304072971,0.06106712387060542,0.032431860399727855,0.15333878064611983,-0.058103749170124286
90,has_upper_tail_color::black,has_upper_tail_color,True,3855,1480,2375,0.7190301134586029,0.6183764701983228,0.36156494931474975,0.7323580234846622,-0.10065364326028015
91,has_upper_tail_color::white,has_upper_tail_color,True,3855,730,3125,0.5329897101886562,0.4492759485283557,0.25581602272206916,0.548722518453897,-0.08371376166030048
92,has_upper_tail_color::red,has_upper_tail_color,True,3855,83,3772,0.4369717994550964,0.3009576530971192,0.04711400277618418,0.47000434783405287,-0.1360141463579772
93,has_upper_tail_color::buff,has_upper_tail_color,True,3855,631,3224,0.45771130825629375,0.3497943914945381,0.19259507839656656,0.4704386278271578,-0.10791691676175563
94,has_head_pattern::spotted,has_head_pattern,True,5592,159,5433,0.17203399927603752,0.0826755438970502,0.028122827837746195,0.20058215131340534,-0.08935845537898732
95,has_head_pattern::malar,has_head_pattern,True,5592,558,5034,0.15847617760715113,0.11687865762039533,0.1220442909849336,0.16697188798038415,-0.0415975199867558
